group_name	categ	tick	meta_order
"chair_007"	"round"	5	2
"chair_007"	"round"	6	2
"chair_007"	"round"	7	2
"chair_008"	"round"	1	2
"chair_008"	"round"	2	2
"chair_008"	"round"	3	2
"chair_008"	"round"	4	2
"chair_008"	"round"	5	2
"chair_008"	"round"	6	2
"chair_008"	"round"	7	2
"chair_010"	"round"	1	2
"chair_010"	"round"	2	2
"chair_010"	"round"	3	2
"chair_010"	"round"	4	2
"chair_010"	"round"	5	2
"chair_010"	"round"	6	2
"chair_010"	"round"	7	2
"donut_001"	"round"	1	2
"donut_001"	"round"	2	2
"donut_001"	"round"	3	2
"donut_001"	"round"	4	2
"donut_001"	"round"	5	2
"donut_001"	"round"	6	2
"donut_001"	"round"	7	2
"donut_002"	"round"	1	2
"donut_002"	"round"	2	2
"donut_002"	"round"	3	2
"donut_002"	"round"	4	2
"donut_002"	"round"	5	2
"donut_002"	"round"	6	2
"donut_002"	"round"	7	2
"donut_003"	"round"	1	2
"donut_003"	"round"	2	2
"donut_003"	"round"	3	2
"donut_003"	"round"	4	2
"donut_003"	"round"	5	2
"donut_003"	"round"	6	2
"donut_003"	"round"	7	2
"donut_004"	"round"	1	2
"donut_004"	"round"	2	2
"donut_004"	"round"	3	2
"donut_004"	"round"	4	2
"donut_004"	"round"	5	2
"donut_004"	"round"	6	2
"donut_004"	"round"	7	2
"donut_005"	"round"	1	2
"donut_005"	"round"	2	2
"donut_005"	"round"	3	2
"donut_005"	"round"	4	2
"donut_005"	"round"	5	2
"donut_005"	"round"	6	2
"donut_005"	"round"	7	2
"donut_007"	"round"	1	2
"donut_007"	"round"	2	2
"donut_007"	"round"	3	2
"donut_007"	"round"	4	2
"donut_007"	"round"	5	2
"donut_007"	"round"	6	2
"donut_007"	"round"	7	2
"doorknob_001"	"round"	1	2
"doorknob_001"	"round"	2	2
"doorknob_001"	"round"	3	2
"doorknob_001"	"round"	4	2
"doorknob_001"	"round"	5	2
"doorknob_001"	"round"	6	2
"doorknob_001"	"round"	7	2
"doorknob_002"	"round"	1	2
"doorknob_002"	"round"	2	2
"doorknob_002"	"round"	3	2
"doorknob_002"	"round"	4	2
"doorknob_002"	"round"	5	2
"doorknob_002"	"round"	6	2
"doorknob_002"	"round"	7	2
"doorknob_004"	"round"	1	2
"doorknob_004"	"round"	2	2
"doorknob_004"	"round"	3	2
"doorknob_004"	"round"	4	2
"doorknob_004"	"round"	5	2
"doorknob_004"	"round"	6	2
"doorknob_004"	"round"	7	2
"doorknob_005"	"round"	1	2
"doorknob_005"	"round"	2	2
"doorknob_005"	"round"	3	2
"doorknob_005"	"round"	4	2
"doorknob_005"	"round"	5	2
"doorknob_005"	"round"	6	2
"doorknob_005"	"round"	7	2
"doorknob_006"	"round"	1	2
"doorknob_006"	"round"	2	2
"doorknob_006"	"round"	3	2
"doorknob_006"	"round"	4	2
"doorknob_006"	"round"	5	2
"doorknob_006"	"round"	6	2
"doorknob_006"	"round"	7	2
"doorknob_008"	"round"	1	2
"doorknob_008"	"round"	2	2
"doorknob_008"	"round"	3	2
"doorknob_008"	"round"	4	2
"doorknob_008"	"round"	5	2
"doorknob_008"	"round"	6	2
"doorknob_008"	"round"	7	2
"handgun_002"	"round"	1	2
"handgun_002"	"round"	2	2
"handgun_002"	"round"	3	2
"handgun_002"	"round"	4	2
"handgun_002"	"round"	5	2
"handgun_002"	"round"	6	2
"handgun_002"	"round"	7	2
"handgun_004"	"round"	1	2
"handgun_004"	"round"	2	2
"handgun_004"	"round"	3	2
"handgun_004"	"round"	4	2
"handgun_004"	"round"	5	2
